epoch,stage,train_loss,val_loss,train_age_mae,val_age_mae,train_gender_acc,val_gender_acc,lr,timestamp
0,val,,11.184304237365723,,53.000152587890625,,0.6305356621742249,0.0005890242266061276,2026-07-27 10:12:44
0,train,6.587338447570801,11.184304237365723,31.139999389648438,53.000152587890625,0.7797648310661316,0.6305356621742249,0.0005890242266061276,2026-07-27 10:12:44
1,val,6.587338447570801,1.87641441822052,31.139999389648438,8.245927810668945,0.7797648310661316,0.8863348960876465,0.0016432668400076758,2026-07-27 10:23:01
1,train,2.2321877479553223,1.87641441822052,9.707232475280762,8.245927810668945,0.8393961191177368,0.8863348960876465,0.0016432668400076758,2026-07-27 10:23:01
2,val,2.2321877479553223,2.7588987350463867,9.707232475280762,12.332531929016113,0.8393961191177368,0.8547026515007019,0.0029913946299260216,2026-07-27 10:32:54
2,train,1.9361495971679688,2.7588987350463867,8.258587837219238,12.332531929016113,0.8462185859680176,0.8547026515007019,0.0029913946299260216,2026-07-27 10:32:54
3,val,1.9361495971679688,1.961134433746338,8.258587837219238,8.431114196777344,0.8462185859680176,0.8519611954689026,0.004168790067577695,2026-07-27 10:42:51
3,train,1.8270680904388428,1.961134433746338,7.856256484985352,8.431114196777344,0.859137773513794,0.8519611954689026,0.004168790067577695,2026-07-27 10:42:51
4,val,1.8270680904388428,3.124173879623413,7.856256484985352,14.335643768310547,0.859137773513794,0.8736819624900818,0.004769676665945994,2026-07-27 10:52:45
4,train,1.8006876707077026,3.124173879623413,7.672750949859619,14.335643768310547,0.857105553150177,0.8736819624900818,0.004769676665945994,2026-07-27 10:52:45
5,val,1.8006876707077026,1.6142926216125488,7.672750949859619,7.187889575958252,0.857105553150177,0.9091100692749023,0.004782139911070879,2026-07-27 11:02:38
5,train,1.7428665161132812,1.6142926216125488,7.465522289276123,7.187889575958252,0.8662214875221252,0.9091100692749023,0.004782139911070879,2026-07-27 11:02:38
6,val,1.7428665161132812,2.1829416751861572,7.465522289276123,9.940826416015625,0.8662214875221252,0.8909742832183838,0.004699858627857361,2026-07-27 11:12:25
6,train,1.7097840309143066,2.1829416751861572,7.313722610473633,9.940826416015625,0.8711569309234619,0.8909742832183838,0.004699858627857361,2026-07-27 11:12:25
7,val,1.7097840309143066,1.363608956336975,7.313722610473633,5.836395740509033,0.8711569309234619,0.9015183448791504,0.004552957208181388,2026-07-27 11:22:07
